berufsfeld,kategorie,skill,anzahl,anzahl_jobs_im_profil,anteil_pct
Business Developer,Ausbildung / Degree,"Rather than a diploma or extensive experience, it’s your state of mind that will allow you to reach your potential and meet the target with Taleo",2,283,0.7
Business Developer,Ausbildung / Degree,Degree or good knowledge in finance/supply chain or any other related field,2,283,0.7
Business Developer,Ausbildung / Degree,"Bachelor's or Advanced degree in Engineering, Business, Information Systems, Computer Science, or a related technical field, providing a strong analytical and problem-solving foundation",2,283,0.7
Business Developer,Ausbildung / Degree,Must have technical background (MSc or equivalent),2,283,0.7
Business Developer,Ausbildung / Degree,"Bei Coca-Cola HBC sind wir ein inklusiver Arbeitgeber, der von Vielfalt profitiert. Das bedeutet, dass unsere Umgebung gleiche Chancen für alle bietet, unabhängig von Rasse, Hautfarbe, Religion, Alter, Behinderung, sexueller Orientierung oder Geschlechtsidentität. Schliess dich uns an und hilf mit, eine Kultur zu fördern, in der sich jeder zugehörig fühlt und zum gemeinsamen Erfolg beiträgt",2,283,0.7
Business Developer,Ausbildung / Degree,"Bachelor’s degree in computer science, Systems Engineering, Information Systems, or related field",2,283,0.7
Business Developer,Ausbildung / Degree,"Bachelor’s degree in Computer Science, Systems Engineering, Information Systems, or a related field",2,283,0.7
Business Developer,Ausbildung / Degree,"Degree in Computer Science, Electrical Engineering, Medical Technology, or a comparable qualification",2,283,0.7
Business Developer,Ausbildung / Degree,Sound experience in software development with mastery of clean coding principles,2,283,0.7
Business Developer,Ausbildung / Degree,"Akademischer Abschluss in Ingenieurwesen, Vertrieb oder einer verwandten Disziplin",2,283,0.7
Business Developer,Ausbildung / Degree,University degree in ICT/Engineering. A graduate degree such as an MBA is a plus,2,283,0.7
Business Developer,Ausbildung / Degree,High degree of flexibility regarding working hours and location (depending on operational requirements),2,283,0.7
Business Developer,Ausbildung / Degree,"Bachelor or Master in Computer Science, Mathematics, Physics, Engineering, or a related field",1,283,0.4
Business Developer,Ausbildung / Degree,"Solid experience with Front Arena, including core components such as ADS, AMAS, AMS, AMBA, TAB and Front Arena framework (AEL, ACM, ADFL, ASQL)",1,283,0.4
Business Developer,Ausbildung / Degree,"Engage and interact with the developer ecosystem — hosting AMAs, office hours, webinars, and play a part in online communities",1,283,0.4
Business Developer,Ausbildung / Degree,"Bachelor’s degree in Computer Science, Software Engineering, or related field - or equivalent professional experience",1,283,0.4
Business Developer,Ausbildung / Degree,"Bachelor’s, Master’s or PhD in Computer Science, Physics, Engineering, Statistics, Applied Mathematics, or related technical field appropriate to a computational background",1,283,0.4
Business Developer,Ausbildung / Degree,University degree in Computer Science/ Information Technology,1,283,0.4
Business Developer,Ausbildung / Degree,Degree in Computer Science or similar,1,283,0.4
Business Developer,Ausbildung / Degree,Bachelor’s or Master’s degree in Computer Science or a related field; equivalent practical experience will also be considered,1,283,0.4
Business Developer,Berufserfahrung,Erfahrung in einem ähnlichen Job haben oder durch bisherige Erfolge überzeugen,4,283,1.4
Business Developer,Berufserfahrung,"Kickstart a meaningful sales career in the world of international finance while earning uncapped commission. You'll get expert training, supportive mentorship, hands-on experience and a clear path to becoming a top salesperson in FX and global payments",2,283,0.7
Business Developer,Berufserfahrung,"Proven experience (typically 5+ years) in business development, sales or client acquisition in the interior design, architecture, lighting or related building materials industry",2,283,0.7
Business Developer,Berufserfahrung,2 years of experience as an SDR or in a similar client-facing role,2,283,0.7
Business Developer,Berufserfahrung,"Experience with popular outreach tools (Snov.io, Apollo, Linkedin Sales navigator, Proxy, etc.)",2,283,0.7
Business Developer,Berufserfahrung,"10+ years’ experience in enterprise sales and strategic account management, business development, with a proven track record as a sales leader driving strategy, pipeline growth, deal execution, and long-term revenue growth for complex offerings managing long-term customer relationships",2,283,0.7
Business Developer,Berufserfahrung,"At least 3 years of experience in technical sales, preferably in optics/photonics",2,283,0.7
Business Developer,Berufserfahrung,Experience in management consulting advantageous,2,283,0.7
Business Developer,Berufserfahrung,"Hands-on configuration and development experience in building and managing dimensions, hierarchies, and member properties",2,283,0.7
Business Developer,Berufserfahrung,Min. 5 years of experience in software development,2,283,0.7
Business Developer,Berufserfahrung,Min. 5 years of experience in development of automated test strategies and implementation of test frameworks,2,283,0.7
Business Developer,Berufserfahrung,"Experience with Application Lifecycle Management tools, ideally Codebeamer",2,283,0.7
Business Developer,Berufserfahrung,Experience in controlling actuators/sensors or integrating robots (SiLA),2,283,0.7
Business Developer,Berufserfahrung,Militärische Erfahrung und Hintergrund in der Verteidigungsindustrie im Zielgebiet,2,283,0.7
Business Developer,Berufserfahrung,Freude an und Erfahrung mit herausfordernden Projekten,2,283,0.7
Business Developer,Berufserfahrung,Strong People Manager track record leading Senior Team members and leading Leaders,2,283,0.7
Business Developer,Berufserfahrung,Proven track record to deliver results within a time sensitive and high-pressure environment,2,283,0.7
Business Developer,Berufserfahrung,"The primary goal of a Developer Relations is to engage, educate, and inspire the developer community - building trust, driving adoption of our technology, and ensuring developers have an exceptional experience with our products. This involves creating technical content, presenting at events, gathering feedback, and serving as the voice of the developer both externally and internally",1,283,0.4
Business Developer,Berufserfahrung,"Previous experience as a Developer Advocate, Developer Relations, or Technical Community Manager",1,283,0.4
Business Developer,Berufserfahrung,"Strong experience with Llama.cpp and ggml inference engines, which facilitates the deployment of models to specific GPU architectures",1,283,0.4
Business Developer,Berufserfahrung,"Experience with AI or ML technologies, such as building or integrating LLMs, chatbots, or AI-driven SDKs and APIs",1,283,0.4
Business Developer,Berufserfahrung,4–6 years of experience in software development or developer relations,1,283,0.4
Business Developer,Berufserfahrung,"Experience in technical writing, developer education, or public speaking",1,283,0.4
Business Developer,Berufserfahrung,"Professional experience in quantitative role, ideally software engineer on a trading desk (preferably options trading)",1,283,0.4
Business Developer,Berufserfahrung,Minimum 3-5 years of professional experience as a Business or Technical Analyst with a proven track record of success,1,283,0.4
Business Developer,Berufserfahrung,Experience in mobile application development,1,283,0.4
Business Developer,Berufserfahrung,Hands-on experience with REST APIs and proficiency with tools such as Postman,1,283,0.4
Business Developer,Berufserfahrung,"Proven software engineering experience with industry-standard practices, including TDD and BDD",1,283,0.4
Business Developer,Berufserfahrung,"Erfahrung in der Implementierung von Softwarelösungen, idealerweise im ECM/DMS-Umfeld",1,283,0.4
Business Developer,Berufserfahrung,Mindestens 2–3 Jahre Erfahrung in der Entwicklung und Implementierung von Softwarelösungen,1,283,0.4
Business Developer,Domänenwissen,"Tether Data: Fueling breakthroughs in AI and peer-to-peer technology, we reduce infrastructure costs and enhance global communications with cutting-edge solutions like KEET, our flagship app that redefines secure and private data sharing",4,283,1.4
Business Developer,Domänenwissen,"Du Verträge verhandelst, die Sichtbarkeit und Verfügbarkeit der Produkte aus unserem Portfolio sicherstellst, den Trade-Marketing-Kalender aktivierst und die Merchandising-Standards umsetzt, um die Verkaufsstellen optimal für die Verbraucher vorzubereiten",4,283,1.4
Business Developer,Domänenwissen,"Every call you make will sharpen your sales skills and build your network across international markets. You'll work with cutting-edge financial solutions that help businesses trade globally, giving you deep industry knowledge that will open doors to future management positions",2,283,0.7
Business Developer,Domänenwissen,"The opportunities at Ebury are as diverse as our people, ranging from business development to engineering roles across our tech pillars",2,283,0.7
Business Developer,Domänenwissen,"With 300 different auditing and advisory service opportunities, our people can choose the career path that suits them best. Through our competencies in business transformation as well as ESG consulting, we support our clients in today's biggest challenges. We are a purpose-led and values driven company where your insight can create opportunities for you and contribute to a better future. Do work that matters, supported by a community that values difference and cares about you. Gain learning that'll last you a lifetime and be recognized for the impact you make. Find opportunity everywhere with KPMG",2,283,0.7
Business Developer,Domänenwissen,"We are excited to offer these roles to driven team players with exceptional problem-solving skills and the mindset to leverage their own ideas and bring new initiatives to life. You will work in an environment where we make ideas happen fast as you take responsibility for building, maintaining, and further developing both backend and frontend of our Anaplan solutions with a main focus on Financial Planning or Supply Planning. With your proven technical expertise and understanding of enterprise planning processes, you will contribute to setting up a robust planning system environment which comes with great opportunities to grow in your position",2,283,0.7
Business Developer,Domänenwissen,Project Management Skills,2,283,0.7
Business Developer,Domänenwissen,Set up meetings or calls between (prospective) clients and the Business Development Manager,2,283,0.7
Business Developer,Domänenwissen,"Swiss AviationSoftware is a 100% subsidiary of Lufthansa Technik, and along with our partners in the Digital Tech Ops Ecosystem, leads the digital transformation of the aviation industry in technical asset operation. As the developer of the world's leading software AMOS, Swiss-AS manages successfully maintenance, engineering and logistics requirements of modern airlines. To strengthen our position at the forefront of this global market, we are looking for dedicated employees who would like to work in a fascinating international environment with more than 200 customers worldwide",2,283,0.7
Business Developer,Domänenwissen,"Adobe empowers everyone to create through innovative platforms and tools that unleash creativity, productivity and personalized customer experiences. Adobe’s industry-leading offerings including Adobe Acrobat Studio, Adobe Express, Adobe Firefly, Creative Cloud, Adobe Experience Platform, Adobe Experience Manager, and GenStudio enable people and businesses to turn ideas into impact, powered by AI and driven by human ingenuity",2,283,0.7
Business Developer,Domänenwissen,AI Use Guidelines for Interviews,2,283,0.7
Business Developer,Domänenwissen,"Our interviews are designed to reflect your own skills and thinking. The use of AI or recording tools during live interviews is not permitted unless explicitly invited by the interviewer or approved in advance as part of a reasonable accommodation. If these tools are used inappropriately or in a way that misrepresents your work, your application may not move forward in the process",2,283,0.7
Business Developer,Domänenwissen,"At Adobe, we empower employees to innovate with AI — and we look for candidates eager to do the same. As part of the hiring experience, we provide clear guidance on where AI is encouraged during the process and where it’s restricted during live interviews. See how we think about AI in the hiring experience",2,283,0.7
Business Developer,Domänenwissen,"Career Development and Growth: By fostering a culture of continuous learning and skill development, we prepare our talent to tackle tomorrow’s challenges and deliver real-world solutions. Our Grow My Way programming and skills-first approach ensures you have the tools and knowledge to grow, lead, and thrive in an AI-enabled future",2,283,0.7
Business Developer,Domänenwissen,"Thomson Reuters informs the way forward by bringing together the trusted content and technology that people and organizations need to make the right decisions. We serve professionals across legal, tax, accounting, compliance, government, and media. Our products combine highly specialized software and insights to empower professionals with the data, intelligence, and solutions needed to make informed decisions, and to help institutions in their pursuit of justice, truth, and transparency. Reuters, part of Thomson Reuters, is a world leading provider of trusted journalism and news",2,283,0.7
Business Developer,Domänenwissen,"As a global business, we rely on the unique backgrounds, perspectives, and experiences of all employees to deliver on our business goals. To ensure we can do that, we seek talented, qualified employees in all our operations around the world regardless of race, color, sex/gender, including pregnancy, gender identity and expression, national origin, religion, sexual orientation, disability, age, marital status, citizen status, veteran status, or any other protected classification under applicable law. Thomson Reuters is proud to be an Equal Employment Opportunity Employer providing a drug-free workplace",2,283,0.7
Business Developer,Domänenwissen,"Umfassendes Verständnis des Marktes für Verteidigung und Sicherheit, einschliesslich, aber nicht beschränkt auf ein klares Verständnis der operativen Bedürfnisse der Kunden und ihrer technischen und kommerziellen Beschaffungsprozesse",2,283,0.7
Business Developer,Domänenwissen,"Ivana Gogos, Human Resources, freut sich auf deine Bewerbung. Bei Fragen zur offenen Stelle steht dir Patrick Drach, Director Sales and Marketing via LinkedIn gerne zur Verfügung",2,283,0.7
Business Developer,Domänenwissen,"The New Development System Engineer will play a crucial role as a part of a Global Product Development team and would work closely with the Firmware Developers, Cybersecurity Expert, Test Engineers, V&V Engineers, Mechanical Engineers, Compliance Engineer, Principal New Development Architect, Industrialization Manager, Product Manager and Chief Technical Officer to develop industrial Uninterrupted Power Supply (UPS) systems in accordance with the industrial norms and compliances to tackle the upcoming market needs",2,283,0.7
Business Developer,Domänenwissen,"About us: TELUS Digital Bulgaria is a publicly traded company (NYSE & TSX: TIXT) and is the largest employer in the CX (Customer Experience) industry in the country with over 4,000 team members. The company provides a broad portfolio of services - designing, building, and delivering next-generation digital services, AI solutions, customer experience, and much more. The company's primary focus is strict adherence to all our clients' procedures and practices. We are an independent outsourcing services provider and do not function as a local representation of our partners",2,283,0.7
Business Developer,Domänenwissen,"About us: TELUS Digital Bulgaria is a publicly traded company (NYSE & TSX: TIXT) and is the largest employer in the CX (Customer Experience) industry in the country with over 4,600 team members. The company provides a broad portfolio of services - designing, building, and delivering next-generation digital services, AI solutions, customer experience, and more. The company's primary focus is strict adherence to all our clients' procedures and practices. We are an independent outsourcing services provider and do not function as a local representation of our partners. Unisciti al nostro team! Cerchiamo personale per il nostro servizio di assistenza clienti. La posizione prevede attività di back office e assistenza clienti diretta. Il candidato ideale può essere anche senza esperienza - offriamo formazione completa. Come addetto assistenza clienti, lavorerai in un ambiente dinamico e professionale. Cerchiamo persone motivate con ottime capacità comunicative e orientamento al cliente",2,283,0.7
Business Developer,Domänenwissen,"Our Community & Governance department is fostering a global and diverse AO community in the clinical specialties of trauma, spine, craniomaxillofacial, veterinary and reconstructive surgery. It consists of three main areas: Community Development, Marketing, and management of leading AO Specialty Boards",2,283,0.7
Business Developer,Domänenwissen,"About us: TELUS Digital Bulgaria is a publicly traded company (NYSE & TSX: TIXT) and is the largest employer in the CX (Customer Experience) industry in the country with over 4,600 team members. The company provides a broad portfolio of services - designing, building, and delivering next-generation digital services, AI solutions, customer experience, and more. The company's primary focus is strict adherence to all our clients' procedures and practices. We are an independent outsourcing services provider and do not function as a local representation of our partners. Wir bieten vielfältige Einstiegsmöglichkeiten in unserem Kundenservice-Team. Ob Sie Quereinsteiger sind oder bereits Erfahrung haben – Sie sind bei uns willkommen! Unsere Vollzeitstellen können flexibel im Büro oder im Homeoffice ausgeübt werden",2,283,0.7
Business Developer,Domänenwissen,"Monitoring, analyzing, and optimizing system performance and capacity utilization, treating operations as a software engineering problem",1,283,0.4
Business Developer,Domänenwissen,Collaborate with marketing to align technical storytelling with broader brand messaging,1,283,0.4
Business Developer,Domänenwissen,"Partner closely with engineering, product management, and marketing to align developer needs with product strategy",1,283,0.4
Business Developer,Domänenwissen,"Experience leveraging AI tools (such as Cursor, Codex, or similar AI-assisted development workflows) to enhance productivity and problem-solving efficiency",1,283,0.4
Business Developer,Domänenwissen,"The AI4IT Squad Lead plays a key role in accelerating the adoption of AI within IT by transforming traditional IT processes into AI-enabled, automated, and predictive services",1,283,0.4
Business Developer,Domänenwissen,"This position requires 40–50% travel to deliver solutions, facilitate workshops, and drive AI initiatives",1,283,0.4
Business Developer,Domänenwissen,Lead AI Development for IT Use Cases,1,283,0.4
Business Developer,Soft Skills,"Tether Finance: Our innovative product suite features the world’s most trusted stablecoin, USDT, relied upon by hundreds of millions worldwide, alongside pioneering digital asset tokenization services",4,283,1.4
Business Developer,Soft Skills,"If you have excellent English communication skills and are ready to contribute to the most innovative platform on the planet, Tether is the place for you",4,283,1.4
Business Developer,Soft Skills,"Be cautious of unusual communication methods. We do not conduct interviews over WhatsApp, Telegram, or SMS. All communication is done through official company emails and platforms",4,283,1.4
Business Developer,Soft Skills,Coaching and mentoring programs,4,283,1.4
Business Developer,Soft Skills,"Du planst und setzt regionale Projekte und Events um, wobei du die Koordination zwischen internen und externen Stakeholdern sicherstellst",4,283,1.4
Business Developer,Soft Skills,"Wir stellen klare Richtlinien für die Marktausführung und erstklassige Vertriebstools zur Verfügung, damit du deine Ergebnisse nachverfolgen, deinen Fortschritt verstehen und deine Ziele erreichen kannst",4,283,1.4
Business Developer,Soft Skills,"Du wirst innovative digitale Lösungen nutzen, um Daten zu sammeln, Prozesse zu automatisieren und Verkaufsinformationen zu erhalten",4,283,1.4
Business Developer,Soft Skills,"Verantwortungsbewusstes Handeln in der lokalen Umgebung und der nachhaltige Einsatz von Ressourcen sind fest in unserer Unternehmensstrategie verankert. Neben den Bereichen Wasser, Energie und Mitarbeiter:innen liegen die ambitionierten Nachhaltigkeitsziele auf der globalen Vision einer „Welt ohne Abfall“. Als Teil dieser Strategie fördert Coca-Cola HBC innovative Verpackungslösungen wie die Erhöhung des Anteils an recyceltem PET (rPET) im gesamten Portfolio sowie starke Partnerschaften, um die Sammelquoten zu steigern",4,283,1.4
Business Developer,Soft Skills,Work with modern and up-to-date tools in an innovative work environment,4,283,1.4
Business Developer,Soft Skills,Excellence in active listening and problem-solving,4,283,1.4
Business Developer,Soft Skills,Self-motivated with a passion for customer satisfaction,4,283,1.4
Business Developer,Soft Skills,"Excellent communication style, ability to explain complex concepts simply",4,283,1.4
Business Developer,Soft Skills,Ability to troubleshoot issues and find creative solutions,4,283,1.4
Business Developer,Soft Skills,"At TELUS Digital Bulgaria, we believe in growing together. We offer a supportive environment where learning is continuous, teamwork is celebrated, and your well-being is our top search result",4,283,1.4
Business Developer,Soft Skills,Excellent communication and interpersonal skills,3,283,1.1
Business Developer,Soft Skills,"See for yourself how innovative technology can change the present. If you want to find out more about what projects can be implemented using Siemens technology, here are some current examples",3,283,1.1
Business Developer,Soft Skills,Strong analytical and problem-solving skills,3,283,1.1
Business Developer,Soft Skills,"At Alpiq, we are committed to creating an inclusive work environment, where everyone can bring their ‘whole selves’ to work and feel valued, respected, and heard. This principle is central to our company’s purpose, values, and leadership approach. We strongly believe that organizations thrive through the inclusion of diversity. Everyone’s energy matters regardless of characteristics, such as age, gender, nationality, language, sexual orientation and identity, religion, social or ethnic background or any other personal traits",3,283,1.1
Business Developer,Soft Skills,"Ebury helps ambitious businesses unlock global growth, and we take the same approach with our people. We encourage innovation and movement, collaboration and problem-solving, and foster an environment where everyone can feel they belong, are valued, supported and empowered to succeed",2,283,0.7
Business Developer,Soft Skills,"Strong interpersonal and communication skills, and the drive to hit ambitious targets",2,283,0.7
Business Developer,Soft Skills,"Clear, Accelerated Career Progression: Defined pathways to leadership and specialist roles within Ebury",2,283,0.7
Business Developer,Soft Skills,Dynamic & Supportive Culture: Work in a collaborative environment where teamwork and personal growth are prioritized,2,283,0.7
Business Developer,Soft Skills,"We believe in inclusion. We stand against discrimination in all forms and are against the intolerance of differences that makes us a modern and successful organisation. At Ebury, you can be whoever you want to be and still feel a sense of belonging no matter your story",2,283,0.7
Business Developer,Soft Skills,"Excellent communication and negotiation skills, with experience presenting to architects, designers, and developers",2,283,0.7
Business Developer,Soft Skills,Cross-Functional Collaboration,2,283,0.7
Business Developer,Soft Skills,Good communication and cooperation skills,2,283,0.7
Business Developer,Soft Skills,"Excellent communication skills in English and demonstrated ability to manage cross-functional stakeholders effectively, German proficiency is a plus",2,283,0.7
Business Developer,Soft Skills,Collaborate with key stakeholders to understand business requirements and translate them into value-adding Anaplan solutions,2,283,0.7
Business Developer,Soft Skills,Communicate technical outcomes and their consequences effectively to different stakeholders,2,283,0.7
Business Developer,Soft Skills,Demonstrated analytical & problem-solving skills and eagerness to solve business problems with technology,2,283,0.7
Business Developer,Sonstige,Key Responsibilities,14,283,4.9
Business Developer,Sonstige,Equal Opportunity Employer,10,283,3.5
Business Developer,Sonstige,Job Description,9,283,3.2
Business Developer,Sonstige,Development opportunities,7,283,2.5
Business Developer,Sonstige,Day off for your birthday,7,283,2.5
Business Developer,Sonstige,Fully paid training,7,283,2.5
Business Developer,Sonstige,Stable job and career development opportunities,7,283,2.5
Business Developer,Sonstige,Attractive salary,7,283,2.5
Business Developer,Sonstige,Additional health insurance,7,283,2.5
Business Developer,Sonstige,More than fifty benefits and services to choose from,7,283,2.5
Business Developer,Sonstige,Positive international working environment,7,283,2.5
Business Developer,Sonstige,Support and learning,7,283,2.5
Business Developer,Sonstige,Employee referral bonuses,7,283,2.5
Business Developer,Sonstige,Zusätzliche Stellenbeschreibung,7,283,2.5
Business Developer,Sonstige,Are you ready to take the next step in your career and achieve your next challenge? TELUS Digital Bulgaria is looking for you,7,283,2.5
Business Developer,Sonstige,What you'll need,6,283,2.1
Business Developer,Sonstige,Employee assistance program,6,283,2.1
Business Developer,Sonstige,LOCATION: ZURICH,6,283,2.1
Business Developer,Sonstige,Just by the banks of the Limmat you’ll find our largest global hub in Zürich West – On Labs – where you can hike up 12 floors through our custom-built spiral trail,6,283,2.1
Business Developer,Sonstige,Förrlibuckstrasse 190,6,283,2.1
Business Developer,Sonstige,"On is a place that is centered around growth and progress. We offer an environment designed to give people the tools to develop holistically – to stay active, to learn, explore and innovate. Our distinctive approach combines a supportive, team-oriented atmosphere, with access to personal self-care for both physical and mental well-being, so each person is led by purpose",6,283,2.1
Business Developer,Sonstige,"On is an Equal Opportunity Employer. We are committed to creating a work environment that is fair and inclusive, where all decisions related to recruitment, advancement, and retention are free of discrimination",6,283,2.1
Business Developer,Sonstige,Build the better you,6,283,2.1
Business Developer,Sonstige,"We want to set everyone up for success, so here’s the lowdown on how we hire. Our process is a two-way street – bringing you into our culture, while helping us learn how you think",6,283,2.1
Business Developer,Sonstige,"Our full process can last about eight weeks from application to offer, because we care about getting it right. These steps explain how we usually do things",6,283,2.1
Business Developer,Sonstige,"Before you get started, feel free to consider if you want to work with us. Strange question? Well, we give people a lot of space to navigate their day-to-day and that style isn't for everyone. We want you to be passionate about what you do and be sure this is the right fit. Because when skills and passion combine – it creates that 'Wow' moment",6,283,2.1
Business Developer,Sonstige,Additional Information,5,283,1.8
Business Developer,Sonstige,What you’ll bring,5,283,1.8
Business Developer,Sonstige,Business Developers,5,283,1.8
Business Developer,Sonstige,Your Background,5,283,1.8
Business Developer,Sprachen,Business fluent English language skills (written and spoken),3,283,1.1
Business Developer,Sprachen,"Sehr gute Deutsch- und Englischkenntnisse, Französisch von Vorteil",3,283,1.1
Business Developer,Sprachen,Fluent in English; additional languages are a plus,3,283,1.1
Business Developer,Sprachen,"Fluent in English, a strong French knowledge is a plus",2,283,0.7
Business Developer,Sprachen,"Sehr gute Deutsch- und Englischkenntnisse, Französischkenntnisse von Vorteil",2,283,0.7
Business Developer,Sprachen,Fluent in English / fluent German is of advantage,2,283,0.7
Business Developer,Sprachen,Advanced level of English (B2-C1),2,283,0.7
Business Developer,Sprachen,"Fluent in English, with additional languages considered an asset",2,283,0.7
Business Developer,Sprachen,Sehr gute Kenntnisse in Englisch sowie Deutsch oder Französisch,2,283,0.7
Business Developer,Sprachen,"Fluent in English, any other foreign language is an advantage",2,283,0.7
Business Developer,Sprachen,Fluent in German,2,283,0.7
Business Developer,Sprachen,B2 or higher English language skill,2,283,0.7
Business Developer,Sprachen,Fluent German and English communication skills,2,283,0.7
Business Developer,Sprachen,"Fluency in English (verbal/written) , German skills are desirable",1,283,0.4
Business Developer,Sprachen,"Fluent in German & English, other languages an advantage",1,283,0.4
Business Developer,Sprachen,"Language skills: Proficiency in English (company language). Additional languages (German, French, Spanish, etc.) are a plus",1,283,0.4
Business Developer,Sprachen,Excellent oral and written English skills,1,283,0.4
Business Developer,Sprachen,"Fluent in English, with strong communication skills to align diverse internal stakeholders across regions; German is a strong plus",1,283,0.4
Business Developer,Sprachen,Fluent in English; German is an advantage,1,283,0.4
Business Developer,Sprachen,Proficient German and English skills,1,283,0.4
Business Developer,Sprachen,"Fluent in English, any other language is a plus",1,283,0.4
Business Developer,Sprachen,"Sehr gute Deutschkenntnisse (Muttersprachniveau) sind Voraussetzung, Englisch- und/oder Französisch-Kenntnisse von Vorteil",1,283,0.4
Business Developer,Sprachen,Verhandlungssicher in Deutsch (Muttersprache oder C2) und Englisch (B2 oder besser),1,283,0.4
Business Developer,Sprachen,Fluent in English is mandatory; the German language is an advantage,1,283,0.4
Business Developer,Sprachen,Fluent in German and English; French is an advantage,1,283,0.4
Business Developer,Sprachen,Deine Deutsch- und Englischkenntnisse (schriftlich und mündlich) sind einwandfrei,1,283,0.4
Business Developer,Sprachen,Fluent German essential,1,283,0.4
Business Developer,Sprachen,"Languages: French and English required; Swiss German, German and/or Italian a plus",1,283,0.4
Business Developer,Sprachen,Fluent in English; any other European language is an asset,1,283,0.4
Business Developer,Sprachen,Sehr gute Deutschkenntnisse (C1) sowie gutes Englisch,1,283,0.4
Business Developer,Tools & Technologien,Are you a ServiceNow professional looking for exciting projects in Switzerland?,5,283,1.8
Business Developer,Tools & Technologien,"Implementations, extensions, and optimizations on the ServiceNow platform",5,283,1.8
Business Developer,Tools & Technologien,ServiceNow Developer / Implementer,5,283,1.8
Business Developer,Tools & Technologien,Advanced proficiency in VB.NET or C# and SQL,4,283,1.4
Business Developer,Tools & Technologien,"Master and efficiently utilize CRM software, ticketing systems, and other customer service tools to meet the unique needs of our customers",4,283,1.4
Business Developer,Tools & Technologien,Multi-cultural and interdisciplinary teams offering diverse perspectives and collaborative thinking,3,283,1.1
Business Developer,Tools & Technologien,"Your ability to present, negotiate and close deals will directly impact your earnings and career progression. You'll also collaborate with internal teams to ensure new clients have a smooth onboarding experience",2,283,0.7
Business Developer,Tools & Technologien,Becoming an FX Expert (Client Portfolio Manager): Excel at building client relationships and providing financial advice to manage key client portfolios as a trusted advisor,2,283,0.7
Business Developer,Tools & Technologien,"Experiences with relational databases and working with large data structures, as well as any developer knowledge in other planning / BI reporting tools (particularly Tableau or Power BI), or database query applications such as SQL",2,283,0.7
Business Developer,Tools & Technologien,Lead knowledge-sharing sessions between the teams for everyone to stay up-to-date,2,283,0.7
