Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investment_Stage,Investor_Names,Location,City,Canton,Founded_Year,Employees,Website
PAVE,AI/ML,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, Logistics, Mobility, SaaS",2026.0,40.0M USD,Seed/Series A,Series C+,"Visionaries Club, Lombard Odier Investment Managers",Switzerland,,,,,
Shapers,AI/ML,,Unknown,"AI, Analytics, Biotech, Cybersecurity, Fintech, Robotics",2026.0,,,Early Stage,,Switzerland,,,,,
NanoZymeX,HEALTHCARE,SOFTWARE & PLATFORMS,B2B,"Analytics, Biotech, Healthtech, IoT, Logistics, Manufacturing, SaaS",2026.0,150.0M CHF,Seed/Series A,Series C+,Boris Sevarika,Switzerland,,,,,
Riverkin,HEALTHCARE,SOFTWARE & PLATFORMS,B2B,"Analytics, Biotech, Healthtech, IoT, Logistics, Mobility, Robotics, SaaS",2026.0,,,Early Stage,,Switzerland,,,,,
New,AI/ML,,Unknown,"AgTech, Analytics, Biotech, Cleantech",2026.0,18.0M EUR,Seed/Series A,Series B,Zurich,Switzerland,,,,,
Continuing,AI/ML,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, Cybersecurity, EdTech, IoT, Robotics",2026.0,468.0M USD,,Series C+,,Switzerland,,,,,
Soeder,Unknown,,Unknown,"Analytics, Biotech",2026.0,,,Early Stage,,Switzerland,,,,,
Proptech,SOFTWARE,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, PropTech",2026.0,,,Early Stage,KI-Agenten,Switzerland,,,,,
Kandou,AI/ML,,Unknown,"AI, Analytics, Biotech, IoT",2026.0,225.0M USD,Seed/Series A,Series C+,"Maverick Silicon, SoftBank Group Corp",Switzerland,,,,,
Umlautbio,HEALTHCARE,DRUG DISCOVERY,Unknown,"Analytics, Biotech, Healthtech, IoT",2026.0,3.0M EUR,Seed/Series A,Series A,"Ono Pharmaceutical, Eli Lilly through the Mission BioCapital Platinum Program, AbbVie through the Golden Ticket",Switzerland,,,,,
Milestone,AI/ML,,B2B,"AI, Analytics, Biotech, Cybersecurity",2026.0,,,Early Stage,,Switzerland,,,,,
EVis,AI/ML,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, Healthtech, Logistics, SaaS",2026.0,,,Early Stage,,Switzerland,,,,,
New,Unknown,,Unknown,Analytics,2026.0,,,Early Stage,"Sigma Squared, Swiss national councillor, former entrepreneur Islam Alijaj",Switzerland,,,,,
Amazon,AI/ML,LOGISTICS,Unknown,"AI, Analytics, Biotech, Logistics, Mobility, Robotics",2026.0,22.0M USD,,Series B,,Switzerland,,,,,
Mobilezone,AI/ML,E-COMMERCE,B2B,"Analytics, Biotech, E-Commerce",2026.0,100.0M CHF,,Series C+,Eigenmarken und in der Beschaffung von Produkten aufgebaut,Switzerland,,,,,
Swiss,HEALTHCARE,DRUG DISCOVERY,Unknown,"Analytics, Biotech, Healthtech, IoT",2026.0,,,Early Stage,"FDA Fast Track, the Cancer Research Institute",Switzerland,,,,,
Swiss,Unknown,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, Cleantech, Cybersecurity, Manufacturing, Robotics, SaaS",2026.0,,,Early Stage,,Switzerland,,,,,
FIT,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"AI, AR/VR, Analytics, Healthtech, Manufacturing, Mobility, SaaS",2026.0,,,Early Stage,,Switzerland,,,,,
Taste,Unknown,,Unknown,"Analytics, Biotech",2026.0,,,Early Stage,Taste Match,Switzerland,,,,,
Rhonexum,AI/ML,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, Cleantech, Robotics",2026.0,1.0M USD,Seed/Series A,Seed,QDNL Participations,Switzerland,,,,,
Rivia,HEALTHCARE,DRUG DISCOVERY,Unknown,"AI, Analytics, Biotech, Healthtech, IoT",2026.0,15.0M USD,Seed/Series A,Series B,"Earlybird, Defiant, existing investors Speedinvest",Switzerland,,,,,
Ten,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, IoT, Logistics, Robotics",2026.0,,,Early Stage,Venturelab,Switzerland,,,,,
Ecorobotix,MOBILITY,DRUG DISCOVERY,Unknown,"AgTech, Analytics, Biotech, Robotics",2026.0,,,Early Stage,,Switzerland,,,,,
Agora,AI/ML,SOFTWARE & PLATFORMS,B2B,"AI, Analytics, Biotech, Healthtech, SaaS",2026.0,2.2M CHF,Seed/Series A,Seed,,Switzerland,,,,,
Circunis,AI/ML,,B2B,"AgTech, Analytics",2026.0,,,Early Stage,,Switzerland,,,,,
Dexterous,MOBILITY,SOFTWARE & PLATFORMS,Unknown,"Analytics, Healthtech",2026.0,150.0M CHF,Seed/Series A,Series C+,,Switzerland,,,,,
New,MOBILITY,,Unknown,"Analytics, Biotech, Healthtech, IoT, Robotics",2026.0,3.0M CHF,,Series A,,Switzerland,,,,,
Swiss,AI/ML,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, Cleantech, Fintech, Logistics, Manufacturing, Mobility",2026.0,,,Early Stage,,Switzerland,,,,,
SEFWomenAward,HEALTHCARE,,Unknown,"Analytics, Biotech, IoT",2026.0,,,Early Stage,,Switzerland,,,,,
SwissBorg,FINTECH,SOFTWARE & PLATFORMS,Unknown,"Analytics, Fintech, SaaS",2026.0,41.0M USD,,Series C+,,Switzerland,,,,,
Investor,HEALTHCARE,,Unknown,"Analytics, Biotech, Healthtech",2026.0,,,Early Stage,,Switzerland,,,,,
BrainChip,AI/ML,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, Cybersecurity, Mobility, SaaS",2026.0,,,Early Stage,,Switzerland,,,,,
Nuventus,Unknown,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, Healthtech, SaaS",2026.0,,,Early Stage,an experienced management team,Switzerland,,,,,
Swiss,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, EdTech, Healthtech, Mobility, SaaS",2026.0,,,Early Stage,MedTech,Switzerland,,,,,
NZZ,Unknown,,Unknown,"Analytics, Biotech",2026.0,,,Early Stage,Alumni,Switzerland,,,,,
Schweizer,INDUSTRIALS,,Unknown,"AI, Analytics, Biotech, Robotics",2026.0,,,Early Stage,,Switzerland,,,,,
Neuron,FINTECH,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, Cybersecurity, SaaS",2026.0,81.0M EUR,,Series C+,Fribourg-based legal tech startup Neur,Switzerland,,,,,
Fintech,FINTECH,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, Fintech",2026.0,,,Early Stage,,Switzerland,,,,,
Hyperscale,AI/ML,LOGISTICS,Unknown,"AI, Analytics, Biotech, Cleantech, Logistics, Mobility",2026.0,5.0M EUR,Seed/Series A,Series A,World Fund,Switzerland,,,,,
Fintech,FINTECH,FINANCIAL SERVICES,Unknown,"Analytics, Biotech, Fintech",2026.0,,,Early Stage,,Switzerland,,,,,
InnoBooster,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, Healthtech, Manufacturing, SaaS",2026.0,1.1M CHF,,Seed,,Switzerland,,,,,
Pregnolia,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, Fintech, Healthtech",2026.0,3.4M CHF,Seed/Series A,Series A,,Switzerland,,,,,
Emerald,AI/ML,DRUG DISCOVERY,Unknown,"Analytics, Robotics",2026.0,60.0M EUR,Seed/Series A,Series C+,"Veralto Corporation, Ecolab, SKion Water, Oxy Technology Ventures",Switzerland,,,,,
Chain4Travel,FINTECH,SOFTWARE & PLATFORMS,B2C,"Analytics, Biotech, E-Commerce, Fintech",2026.0,,,Early Stage,Infrastruktur und Anwendung,Switzerland,,,,,
CHF,AI/ML,SOFTWARE & PLATFORMS,B2B,"Analytics, Biotech, Manufacturing, SaaS",2026.0,13.4M EUR,Seed/Series A,Series B,"Inter IKEA Group, Zürcher Kantonalbank, ZKB",Switzerland,,,,,
First,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"AgTech, Analytics, Biotech, Fintech, Manufacturing, SaaS",2026.0,100.0M CHF,,Series C+,,Switzerland,,,,,
Divea,AI/ML,SOFTWARE & PLATFORMS,B2B,"Analytics, Cleantech, Manufacturing, SaaS",2026.0,,,Early Stage,Canada to Japan,Switzerland,,,,,
Three,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, Healthtech, SaaS",2026.0,,,Early Stage,,Switzerland,,,,,
Blockstrom,CLEANTECH,,Unknown,"Analytics, Biotech, Cleantech",2026.0,,,Early Stage,,Switzerland,,,,,
Occlutech,HEALTHCARE,MEDICAL DEVICES,Unknown,"Analytics, EdTech, Healthtech, Manufacturing",2026.0,49.4M EUR,Seed/Series A,Series C+,Europe,Switzerland,,,,,
Startfeld,Unknown,,Unknown,"Analytics, Biotech",2026.0,,,Early Stage,Severin Eder,Switzerland,,,,,
MSCI,FINTECH,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, Fintech, SaaS",2026.0,,,Early Stage,,Switzerland,,,,,
Swiss,HEALTHCARE,MEDICAL DEVICES,Unknown,"Analytics, Biotech, Healthtech, IoT, Manufacturing",2026.0,,,Early Stage,VENUS SHELL,Switzerland,,,,,
Investments,Unknown,,Unknown,"Analytics, Biotech, Cleantech, EdTech, IoT",2026.0,357.31M CHF,Seed/Series A,Series C+,Venturelab,Switzerland,,,,,
Novigenix,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, Healthtech, IoT, SaaS",2026.0,1.8M EUR,,Seed,,Switzerland,,,,,
SaveSpace,AEROSPACE,,Unknown,"Analytics, Biotech",2026.0,,,Early Stage,,Switzerland,,,,,
Future,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, Healthtech",2026.0,,,Early Stage,,Switzerland,,,,,
Radiobotics,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, Healthtech, SaaS",2026.0,20.0M USD,,Series B,,Switzerland,,,,,
Investment,FINTECH,,Unknown,"Analytics, Fintech",2026.0,,,Early Stage,,Switzerland,,,,,
Rolle,HEALTHCARE,,B2B,"Analytics, Biotech, Healthtech",2026.0,,,Early Stage,"Business Angels aufmerksam machen, Investiere",Switzerland,,,,,
Nouvelle,Unknown,MANUFACTURING,Unknown,"AI, Analytics, Manufacturing",2026.0,,,Early Stage,,Switzerland,,,,,
Kickfund,Unknown,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, Cleantech, Robotics, SaaS",2026.0,,,Early Stage,,Switzerland,,,,,
Four,FINTECH,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, Cybersecurity, Fintech, SaaS",2026.0,,,Early Stage,"institutional-level risk management, comparative analysis",Switzerland,,,,,
USD,HEALTHCARE,MEDICAL DEVICES,Unknown,"Analytics, Biotech, Healthtech",2026.0,50.0M USD,Seed/Series A,Series C+,DC Global Ventures,Switzerland,,,,,
Frisches,FINTECH,,Unknown,"Analytics, Biotech, Fintech",2026.0,,,Early Stage,,Switzerland,,,,,
Four,Unknown,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, EdTech, Healthtech, Logistics",2026.0,,,Early Stage,"Constructor Start partner Nexford for an MBA in AI, Y-Combinator, Intel Ignite",Switzerland,,,,,
Alithea,Unknown,,Unknown,"Analytics, Biotech, EdTech",2026.0,6.9M CHF,Seed/Series A,Series A,,Switzerland,,,,,
Swisspreneur,AI/ML,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, Fintech, Healthtech, SaaS",2026.0,,,Early Stage,Lars Mangelsdorf,Switzerland,,,,,
Innosuisse,AI/ML,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, Cleantech, Mobility, SaaS",2026.0,3.7M CHF,,Series A,"software, monitoring tools",Switzerland,,,,,
New,AI/ML,SOFTWARE & PLATFORMS,Unknown,"AI, AgTech, Analytics, Biotech, Cleantech, EdTech, Fintech, IoT, Manufacturing, SaaS",2026.0,10.0M CHF,,Series B,,Switzerland,,,,,
Erste,INDUSTRIALS,MANUFACTURING,Unknown,"AI, Analytics, Biotech, Cybersecurity, Manufacturing, Robotics",2026.0,,,Early Stage,Innen- und Aussenbereichen,Switzerland,,,,,
Awards,AI/ML,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, Cybersecurity, SaaS",2026.0,,,Early Stage,,Switzerland,,,,,
Technologie,Unknown,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech",2026.0,,,Early Stage,Kundinnen und Kunden abgeholt,Switzerland,,,,,
Oversubscribed,HEALTHCARE,SOFTWARE & PLATFORMS,B2B,"Analytics, Biotech, Healthtech, SaaS",2026.0,7.0M USD,Seed/Series A,Series A,San Francisco-based venture capital firm WI Harper,Switzerland,,,,,
CHD,HEALTHCARE,SOFTWARE & PLATFORMS,B2B,"AI, Analytics, Biotech, EdTech, Healthtech, Logistics",2026.0,1.0M EUR,,Seed,,Switzerland,,,,,
CHF,AI/ML,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, Manufacturing, SaaS",2026.0,,,Early Stage,,Switzerland,,,,,
Startup,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, Cleantech, E-Commerce, Fintech",2026.0,345.0M CHF,,Series C+,,Switzerland,,,,,
STS,FINTECH,SOFTWARE & PLATFORMS,B2B,"Analytics, Biotech, Fintech, SaaS",2026.0,30.0M USD,Seed/Series A,Series C+,"CMT Digital, Payward",Switzerland,,,,,
LESS,HEALTHCARE,SOFTWARE & PLATFORMS,B2B,"Analytics, Manufacturing, Mobility",2026.0,22.0M USD,Seed/Series A,Series B,,Switzerland,,,,,
CHF,AI/ML,,B2B,Analytics,2026.0,1.2M CHF,Seed/Series A,Seed,,Switzerland,,,,,
Spirecut,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, EdTech, Healthtech, Logistics, SaaS",2026.0,,,Early Stage,,Switzerland,,,,,
Fintech,FINTECH,,Unknown,"Analytics, Cybersecurity",2026.0,,,Early Stage,,Switzerland,,,,,
InVirtuoLabs,HEALTHCARE,SOFTWARE & PLATFORMS,B2B,"AI, Analytics, Biotech, Healthtech, IoT, Manufacturing, SaaS",2026.0,2.3M EUR,,Seed,,Switzerland,,,,,
Four,AI/ML,MEDICAL DEVICES,Unknown,"AI, Analytics, Cybersecurity, Healthtech, Robotics",2026.0,2.5M EUR,,Seed,EIT,Switzerland,,,,,
Guter,Unknown,SOFTWARE & PLATFORMS,Unknown,"Analytics, E-Commerce",2026.0,,,Early Stage,Arcarius,Switzerland,,,,,
The,FINTECH,,Unknown,"Analytics, Biotech",2026.0,,,Early Stage,Zurich,Switzerland,,,,,
Polaroid,AI/ML,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, Healthtech, IoT, SaaS",2026.0,,,Early Stage,,Switzerland,,,,,
ETH,MOBILITY,SOFTWARE & PLATFORMS,B2B,"AI, Analytics, Biotech, IoT, Robotics",2026.0,10.0M CHF,,Series B,"UBS, ETH Zurich",Switzerland,,,,,
Seed,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, EdTech, Healthtech, Robotics, SaaS",2026.0,,,Early Stage,"a strong European investor syndicate, the continued backing of Wyss Geneva, Zürcher Kantonalbank, ZKB, High-Tech Gründerfonds",Switzerland,,,,,
Bayer,SOFTWARE,SOFTWARE & PLATFORMS,Unknown,"Analytics, Healthtech",2026.0,,,Early Stage,Resmonics,Switzerland,,,,,
Swiss,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, Healthtech, IoT, Logistics, SaaS",2026.0,,,Early Stage,"Vladimir Cmiljanovic, Chinese authorities",Switzerland,,,,,
Startfeld,Unknown,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, Cleantech, Fintech, Healthtech, IoT",2026.0,,,Early Stage,Startfeld freuen,Switzerland,,,,,
Millionenfinanzierung,CLEANTECH,,Unknown,"Analytics, Biotech",2026.0,,,Early Stage,,Switzerland,,,,,
Enerdrape,CLEANTECH,SOFTWARE & PLATFORMS,Unknown,"Analytics, Cleantech, Manufacturing, SaaS",2026.0,,,Early Stage,"FIT, political incentives",Switzerland,,,,,
Further,MOBILITY,,Unknown,"Analytics, Biotech, Cleantech, EdTech, Fintech, IoT",2026.0,,,Early Stage,planning to increase their investments,Switzerland,,,,,
Österreichische,Unknown,,Unknown,"Analytics, Biotech",2026.0,,,Early Stage,Covers oder in lauten Eventumgebungen an ihre Grenzen,Switzerland,,,,,
Hamilton,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, EdTech, Healthtech, IoT",2026.0,,,Early Stage,,Switzerland,,,,,
Seprify,MOBILITY,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, Cleantech, Manufacturing, SaaS",2026.0,12.25M CHF,,Series B,European cosmetics brands for credible alternatives,Switzerland,,,,,
Kaspar,FINTECH,,Unknown,"Analytics, Biotech, Fintech",2026.0,,,Early Stage,"Liberty, Investiere",Switzerland,,,,,
Baxiva,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, IoT, SaaS",2026.0,150.0M CHF,Seed/Series A,Series C+,CEO Dr,Switzerland,,,,,
Rising,AI/ML,SOFTWARE & PLATFORMS,B2B,"AI, Analytics, Biotech, PropTech, Robotics, SaaS",2026.0,,,Early Stage,CTO,Switzerland,,,,,
Metafuels,AI/ML,MANUFACTURING,Unknown,"Analytics, Biotech, Cleantech, Logistics, Manufacturing",2026.0,9.0M USD,Seed/Series A,Series A,"UVC Partners, Borries, Verve Ventures",Switzerland,,,,,
Scantrust,Unknown,LOGISTICS,B2B,"Analytics, Biotech, Logistics",2026.0,,,Early Stage,,Switzerland,,,,,
KAEX,SOFTWARE,SOFTWARE & PLATFORMS,B2B,"Analytics, Biotech, Healthtech, SaaS",2026.0,3.5M USD,Seed/Series A,Series A,"in-house media planners, creative development partners",Switzerland,,,,,
More,Unknown,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, EdTech, Healthtech, IoT, Robotics",2026.0,20.0M CHF,,Series B,Switzerland,Switzerland,,,,,
Rapidata,AI/ML,SOFTWARE & PLATFORMS,B2B,"AI, Analytics, Biotech, SaaS",2026.0,8.5M USD,Seed/Series A,Series A,"Canaan Partners, Acequia Capital, BlueYard",Switzerland,,,,,
Femtech,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, Fintech, Healthtech, IoT, SaaS",2026.0,,,Early Stage,ZKB,Switzerland,,,,,
Erfolgreiches,MOBILITY,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, SaaS",2026.0,,,Early Stage,Alpha Augmented Services,Switzerland,,,,,
FIF,FINTECH,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, Fintech, Healthtech, IoT, Mobility, Robotics, SaaS",2026.0,,,Early Stage,,Switzerland,,,,,
Baselbieter,Unknown,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, E-Commerce",2026.0,,,Early Stage,,Switzerland,,,,,
Terralayr,Unknown,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech",2026.0,60.0M EUR,,Series C+,Greenfield-Batterieprojekten,Switzerland,,,,,
ENGIE,CLEANTECH,,Unknown,"Analytics, Biotech, Cleantech, PropTech",2026.0,,,Early Stage,Switzerland impress juries at home,Switzerland,,,,,
Switzerland,Unknown,MANUFACTURING,Unknown,"Analytics, Manufacturing, Mobility, Robotics",2026.0,,,Early Stage,Zürcher Kantonalbank,Switzerland,,,,,
Axmed,SOFTWARE,SOFTWARE & PLATFORMS,B2B,"Analytics, Biotech, E-Commerce, Healthtech, Logistics, SaaS",2026.0,6.0M USD,Seed/Series A,Series A,"Founderful Ventures, Founderful",Switzerland,,,,,
New,AI/ML,MANUFACTURING,Unknown,"Analytics, Cleantech, Logistics, Manufacturing",2026.0,,,Early Stage,"Zürcher Kantonalbank, ZKB",Switzerland,,,,,
Carewell,HEALTHCARE,SOFTWARE & PLATFORMS,B2B,"AI, Analytics, Biotech, Mobility, SaaS",2026.0,,,Early Stage,FIT,Switzerland,,,,,
PropTech,AI/ML,SOFTWARE & PLATFORMS,B2B,"AI, Analytics, Biotech, PropTech, SaaS",2026.0,8.0M EUR,Seed/Series A,Series A,"KOMPAS VC, ZKB",Switzerland,,,,,
Japanese,AI/ML,SOFTWARE & PLATFORMS,B2B,"AI, Analytics, Cleantech, Robotics, SaaS",2026.0,62.0M USD,Seed/Series A,Series C+,,Switzerland,,,,,
Startup,AI/ML,,Unknown,"AI, Analytics, Biotech, EdTech, Robotics",2026.0,,,Early Stage,Startups mit Industriepartnern,Switzerland,,,,,
Five,Unknown,SOFTWARE & PLATFORMS,B2B,"AI, Analytics, Biotech, Fintech, Manufacturing, PropTech, Robotics, SaaS",2026.0,,,Early Stage,,Switzerland,,,,,
Winduction,AI/ML,LOGISTICS,Unknown,"Analytics, Logistics, Mobility, Robotics",2026.0,1.15M CHF,Seed/Series A,Seed,"private investors to advance system validation, vehicle integration, ZKB",Switzerland,,,,,
Following,AI/ML,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, Logistics, Mobility, SaaS",2026.0,2.0M EUR,Seed/Series A,Seed,"AENU, Deloitte",Switzerland,,,,,
Auterion,AI/ML,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Cybersecurity, Logistics, Manufacturing, Mobility, Robotics, SaaS",2026.0,130.0M USD,,Series C+,,Switzerland,,,,,
