Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investor_Type,Investor_Name,Country,Founding_Year,Investment_Stage,Valuation,Exit_Type,Startup_Stage
Venture,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Switzerland,EDUCATION,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Seed,B2B,,,,2026.0,1.8M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Seed,,,Active
Coteries,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
MESH,B2B,,,,2026.0,3.8M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active
Pivotal,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Swiss,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
SEALSQ,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
PAVE,B2B,,,,2026.0,40.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
Shapers,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
NanoZymeX,HEALTHCARE,,,,2026.0,150.0M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
Riverkin,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
New,B2B,,,,2026.0,20.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series B,,,Active
Continuing,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Soeder,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Proptech,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Kandou,B2B,,,,2026.0,225.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
Umlautbio,HEALTHCARE,,,,2026.0,3.0M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active
Milestone,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
EVis,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
New,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Amazon,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Mobilezone,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Swiss,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Swiss,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
FIT,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Taste,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Rhonexum,B2B,,,,2026.0,1.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Seed,,,Active
Rivia,B2B,,,,2026.0,15.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series B,,,Active
Ten,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Ecorobotix,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Agora,B2B,,,,2026.0,2.2M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Seed,,,Active
Circunis,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Dexterous,B2B,,,,2026.0,150.0M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
New,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Swiss,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
SEFWomenAward,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
SwissBorg,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Investor,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
BrainChip,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Nuventus,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Swiss,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
NZZ,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Schweizer,CONSUMER,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Neuron,FINTECH,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Fintech,FINTECH,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Hyperscale,B2B,,,,2026.0,5.0M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active
Fintech,FINTECH,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
InnoBooster,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Pregnolia,B2B,,,,2026.0,3.4M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active
Emerald,B2B,,,,2026.0,100.0M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
Chain4Travel,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
CHF,B2B,,,,2026.0,12.25M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Series B,,,Active
First,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Divea,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Three,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Blockstrom,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Occlutech,HEALTHCARE,,,,2026.0,99.4M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
Startfeld,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
MSCI,FINTECH,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Swiss,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Investments,B2B,,,,2026.0,357.31M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
Novigenix,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
SaveSpace,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Future,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Radiobotics,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Investment,FINTECH,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Rolle,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Nouvelle,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Kickfund,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Four,FINTECH,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
USD,HEALTHCARE,,,,2026.0,50.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
Frisches,FINTECH,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Four,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Alithea,B2B,,,,2026.0,6.9M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active
Swisspreneur,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Innosuisse,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
New,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Erste,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Awards,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Technologie,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Oversubscribed,B2B,,,,2026.0,7.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active
CHD,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
CHF,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Startup,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
STS,B2B,,,,2026.0,30.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
LESS,HEALTHCARE,,,,2026.0,22.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series B,,,Active
CHF,B2B,,,,2026.0,1.2M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Seed,,,Active
Spirecut,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Fintech,FINTECH,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
InVirtuoLabs,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Four,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Guter,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
The,FINTECH,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Polaroid,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
ETH,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Seed,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Bayer,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Swiss,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Startfeld,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Millionenfinanzierung,INDUSTRIALS,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Enerdrape,INDUSTRIALS,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Further,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Österreichische,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Hamilton,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Seprify,CONSUMER,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Kaspar,FINTECH,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Baxiva,HEALTHCARE,,,,2026.0,150.0M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
Rising,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Metafuels,B2B,,,,2026.0,24.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series B,,,Active
Scantrust,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
KAEX,B2B,,,,2026.0,3.5M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active
More,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Rapidata,B2B,,,,2026.0,8.5M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active
Femtech,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Erfolgreiches,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
FIF,FINTECH,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Baselbieter,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Terralayr,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
ENGIE,INDUSTRIALS,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Switzerland,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Axmed,B2B,,,,2026.0,6.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active
New,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Carewell,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
PropTech,B2B,,,,2026.0,8.0M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active
Japanese,B2B,,,,2026.0,62.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
Startup,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Five,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Winduction,B2B,,,,2026.0,1.15M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Seed,,,Active
Following,B2B,,,,2026.0,2.0M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Seed,,,Active
Auterion,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Ten,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Hemora,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
OOVIE,B2B,,,,2026.0,150.0M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
Leading,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Strong,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
USD,HEALTHCARE,,,,2026.0,10.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series B,,,Active
Infotel,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Drei,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Nouvelle,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Dario,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
InVirtuoLabs,B2B,,,,2026.0,2.3M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Seed,,,Active
From,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Porters,FINTECH,,,,2026.0,2.7M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Seed,,,Active
Une,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Seven,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Physical,B2B,,,,2026.0,13.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series B,,,Active
Entrepreneurial,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Voltiris,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Umanitek,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
StartupNation,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
High,B2B,,,,2026.0,1.5M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Seed,,,Active
OOMNIUM,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Memo,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Limula,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Clear,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Chiral,B2B,,,,2026.0,12.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series B,,,Active
Oxara,INDUSTRIALS,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
PME,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
EPFL,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Innosuisse,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
H55,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Loxy,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Startups,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Tenity,FINTECH,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Two,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Startup,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Besso,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
MoleSense,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Haelixa,B2B,,,,2026.0,2.0M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Seed,,,Active
UNISERS,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
FluidSolids,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Significantly,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Massiv,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Hausse,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
GuestReady,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Zurichbased,B2B,,,,2026.0,110.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
CHF,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Eight,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Terapet,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
ORamaVR,HEALTHCARE,,,,2026.0,4.5M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active
Technis,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
The,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Venture,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Hybrid,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Venture,B2B,,,,2026.0,8.3M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active
European,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Eleven,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Welt,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
MedTech,HEALTHCARE,,,,2026.0,20.0M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Series B,,,Active
LeadiNNg,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Zurichbased,FINTECH,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Scholé,B2B,,,,2026.0,3.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active
Largo,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Swiss,B2B,,,,2026.0,150.0M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
New,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Swiss,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Fundraising,B2B,,,,2026.0,300.0M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
Cash,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Boring,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
BESS,FINTECH,,,,2026.0,60.0M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
Erfolgreicher,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Scandens,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Six,FINTECH,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
New,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Belgiumbased,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Edtech,B2B,,,,2026.0,5.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active
LatticeFlow,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Ypsomed,HEALTHCARE,,,,2026.0,100.0M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
Growth,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Swiss,B2B,,,,2026.0,592.4M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
Audiospace,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Digitalhealth,HEALTHCARE,,,,2026.0,220.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
FAIRTIQ,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Exeon,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Une,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Partners,HEALTHCARE,,,,2026.0,150.0M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
Swissto12,FINTECH,,,,2026.0,100.0M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
Kanton,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Cloover,B2B,,,,2026.0,22.0M USD,Seed/Series A,VC Fund,,Switzerland,2026.0,Series B,,,Active
Frigg,B2B,,,,2026.0,760.0M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active
